Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARPHAGE*40 cpr 100 mg;5,63;MERCK SERONO SpA;038835144;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;GLICOBASE*40 cpr 100 mg;8,04;BAYER SpA;029532013;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 100 mg;8,04;BAYER SpA;026851016;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 100 mg;8,04;BB FARMA Srl;038696011;H1A;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARPHAGE*40 cpr 50 mg;5,63;MERCK SERONO SpA;038835043;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 50 mg;8,04;BAYER SpA;026851028;H1B;X;;
Acebutololo;ACEBUTOLOLO 400MG 30 UNITA' USO ORALE;SECTRAL*30 cpr 400 mg;10,71;SANOFI-AVENTIS SpA;024155057;B4A;;;
Aceclidina;ACECLIDINA 200MG 10ML 1 UNITA' USO OFTALMICO;GLAUNORM*collirio flacone polv 200 mg + flacone solv 10 ml;3,77;FARMIGEA SpA;021576018;CLQ;;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;KAFENAC*os polv 30 bust 100 mg;8,09;ALMIRALL SpA;031842026;B5A;;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;AIRTAL*os polv 30 bust 100 mg;8,14;ALMIRALL SpA;032773032;B5A;;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;GLADIO*os polv 30 bust 100 mg;8,33;ABIOGEN PHARMA SpA;031220027;B5A;;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;AIRTAL*40 cpr riv 100 mg;10,80;ALMIRALL SpA;032773020;B5B;;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;KAFENAC*40 cpr riv 100 mg;10,80;ALMIRALL SpA;031842014;B5B;;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;GLADIO*40 cpr riv 100 mg;11,13;ABIOGEN PHARMA SpA;031220015;B5B;;;
Acenocumarolo;ACENOCUMAROLO 1MG 20 UNITA' USO ORALE;SINTROM*20 cpr 1 mg;1,91;NOVARTIS FARMA SpA;011782024;H2A;;;
Acenocumarolo;ACENOCUMAROLO 4MG 20 UNITA' USO ORALE;SINTROM*20 cpr div 4 mg;2,03;NOVARTIS FARMA SpA;011782012;H2B;;;
Acetazolamide;ACETAZOLAMIDE 250MG 12 UNITA' USO ORALE;DIAMOX*12 cpr 250 mg;3,03;TEOFARMA Srl;009277017;H3A;;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLIN*os sosp 100 ml 8%;13,90;FIDIA FARMACEUTICI SpA;028614129;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR DOROM*os sosp 100 ml 8%;13,90;TEVA ITALIA Srl;028467049;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;EG SpA;032307035;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;RANBAXY ITALIA SpA;032927067;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;GERMED PHARMA SpA;033429022;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;ABC FARMACEUTICI SpA;033482023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;DOC GENERICI Srl;033551060;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;SANDOZ SpA;033731035;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;ALMUS Srl;033868023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;MYLAN SpA;034738056;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;13,90;AUROBINDO PHARMA ITALIA Srl;036035032;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;CIVRAL*os sosp 100 ml 8%;13,90;PHARMABER Srl;028920027;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;EFRIVIRAL*os sosp 100 ml 8%;13,90;AESCULAPIUS FARMACEUTICI Srl;027534116;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ESAVIR*os sosp 100 ml 8%;13,90;CRINOS SpA;028338059;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;NEVIRAN*os sosp 100 ml 8%;13,90;S.F.GROUP Srl;028425039;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*os sosp 100 ml 8%;15,30;ACTAVIS ITALY SpA;035853023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;AMODIVYR*os sosp 100 ml 8%;15,34;RO-FARM.di DE MAIO SALVATORE&C;033471020;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;CYCLOVIRAN*os sosp 1 flacone 100 ml 8%;15,34;SIGMATAU IND.FARM.RIUNITE SpA;025299088;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ZOVIRAX*FORTE os sosp 100 ml 8%;21,23;GLAXOSMITHKLINE SpA;025298086;26A;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;EG SpA;032307011;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;GERMED PHARMA SpA;034070019;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;12,64;ALTERNA FARMACEUTICI Srl;033410010;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;CYCLOVIRAN*25 cpr 200 mg;12,64;SIGMATAU IND.FARM.RIUNITE SpA;025299052;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ZOVIRAX*25 cpr 200 mg;18,08;GLAXOSMITHKLINE SpA;025298050;26B;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLIN*25 cpr 400 mg;9,01;FIDIA FARMACEUTICI SpA;028614055;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR DOROM*25 cpr 400 mg;9,01;TEVA ITALIA Srl;028467037;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;EG SpA;032307023;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;RATIOPHARM ITALIA Srl;032809028;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;RANBAXY ITALIA SpA;032927030;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;DOC GENERICI Srl;033551021;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;SANDOZ SpA;033731011;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;GERMED PHARMA SpA;034070021;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;MYLAN SpA;034738031;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;FIDIA FARMACEUTICI SpA;037290018;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;CIVRAL*25 cpr 400 mg;9,01;PHARMABER Srl;028920039;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ALOVIR*25 cpr 400 mg;10,11;FARMAC.CABER SpA;028402016;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;CYCLOVIRAN*25 cpr 400 mg;11,01;SIGMATAU IND.FARM.RIUNITE SpA;025299076;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;11,55;ALTERNA FARMACEUTICI Srl;033410022;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ZOVIRAX*25 cpr 400 mg;15,18;GLAXOSMITHKLINE SpA;025298074;26C;X;;
Aciclovir;ACICLOVIR 800MG 25 UNITA' USO ORALE;NEVIRAN*25 cpr 800 mg;36,41;S.F.GROUP Srl;028425066;26D;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLIN*35 cpr 800 mg;25,04;FIDIA FARMACEUTICI SpA;028614081;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR DOROM*35 cpr 800 mg;25,04;TEVA ITALIA Srl;028467064;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;EG SpA;032307086;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;RANBAXY ITALIA SpA;032927055;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;GERMED PHARMA SpA;033429046;26E;X;;
